Doctor Identifier,Risk
683310527,2.5002110813294734e-05
416864632,2.5002110813294734e-05
778263452,2.5002110813294734e-05
654696185,2.5002110813294734e-05
895380359,2.5002110813294734e-05
361728275,2.5002110813294734e-05
836218478,2.5002110813294734e-05
875674612,2.5002110813294734e-05
449524640,2.5002110813294734e-05
636800346,2.5002110813294734e-05
342570737,2.5002110813294734e-05
872764589,2.5002110813294734e-05
559735868,2.5002110813294734e-05
717338446,2.5002110813294734e-05
743851653,2.5002110813294734e-05
230064345,2.5002110813294734e-05
964574483,2.5002110813294734e-05
669246737,2.5002110813294734e-05
910526100,2.5002110813294734e-05
349039834,2.5002110813294734e-05
516040290,2.5002110813294734e-05
110753087,2.5002110813294734e-05
404418015,2.5002110813294734e-05
813811404,2.5002110813294734e-05
704607681,2.5002110813294734e-05
521414733,2.5002110813294734e-05
271876844,2.5002110813294734e-05
135159895,2.5002110813294734e-05
683030144,2.5002110813294734e-05
354807588,2.5002110813294734e-05
322208501,2.5002110813294734e-05
105521392,2.5002110813294734e-05
297479216,2.5002110813294734e-05
488827383,2.5002110813294734e-05
853326405,2.5002110813294734e-05
631328144,2.5002110813294734e-05
625928272,2.5002110813294734e-05
790029010,2.5002110813294734e-05
496451987,2.5002110813294734e-05
705716757,2.5002110813294734e-05
803105608,2.5002110813294734e-05
632889789,2.5002110813294734e-05
846406175,2.5002110813294734e-05
544941473,2.5002110813294734e-05
593093122,2.5002110813294734e-05
249463752,2.5002110813294734e-05
945881567,2.5002110813294734e-05
120460053,2.5002110813294734e-05
154408012,2.5002110813294734e-05
205982218,2.5002110813294734e-05
750790868,2.5002110813294734e-05
531311433,2.5002110813294734e-05
871960495,2.5002110813294734e-05
930415159,2.5002110813294734e-05
671689437,2.5002110813294734e-05
810536227,2.5002110813294734e-05
633892348,2.5002110813294734e-05
427597887,2.5002110813294734e-05
586799581,2.5002110813294734e-05
754877724,2.5002110813294734e-05
711339065,2.5002110813294734e-05
405933705,2.5002110813294734e-05
607214793,2.5002110813294734e-05
481403073,2.5002110813294734e-05
494055935,2.5002110813294734e-05
950016369,2.5002110813294734e-05
948808787,2.5002110813294734e-05
106856361,2.5002110813294734e-05
276037251,2.5002110813294734e-05
316897151,2.5002110813294734e-05
555790961,2.5002110813294734e-05
906002268,2.5002110813294734e-05
163862483,2.5002110813294734e-05
779763042,2.5002110813294734e-05
722930858,2.5002110813294734e-05
173981688,2.5002110813294734e-05
881273749,2.5002110813294734e-05
511034233,2.5002110813294734e-05
122166772,2.5002110813294734e-05
207871017,2.5002110813294734e-05
279481957,2.5002110813294734e-05
804414158,2.5002110813294734e-05
942322929,2.5002110813294734e-05
872291749,2.5002110813294734e-05
307193588,2.5002110813294734e-05
804514224,2.5002110813294734e-05
761633124,2.5002110813294734e-05
648265428,2.5002110813294734e-05
393257367,2.5002110813294734e-05
566732779,2.5002110813294734e-05
184869312,2.5002110813294734e-05
995253164,2.5002110813294734e-05
657308391,2.5002110813294734e-05
