Doctor Identifier,Risk
632680711,0.8893629090074597
638527209,0.8705613070152989
519279060,0.8388076655765566
897965922,0.8258325567219771
812658560,0.8239521477610943
416418956,0.790595031283452
620381488,0.7451621282616543
695755873,0.7230860464265323
102662390,0.6948551247373196
413858941,0.6533596190923809
736146844,0.6432748605618119
447566257,0.6404251914168597
519563023,0.6404120934942394
500046390,0.6220636088882667
860507991,0.6106844671896905
323129040,0.60047588105847
655153237,0.586626948265474
741235680,0.584063016601645
315627700,0.5773920939478216
155708439,0.5756479570411255
322983390,0.5712420582184201
511762296,0.5710328812803951
923614890,0.5686459316640757
707877284,0.568199947643814
899399353,0.5667838606654296
248021783,0.5655667041942767
655910735,0.5644955744118239
977364811,0.5635456185860104
326734543,0.5630157768516693
927365909,0.5590400729018992
959135254,0.5571413032368344
672258942,0.5569953176227713
877893674,0.5558147727063272
516517167,0.5551984139257549
977358864,0.5521909607167697
962363955,0.5513334909351286
701451689,0.5510013568063457
920006261,0.5454880786144418
601375695,0.5442933433609749
238117243,0.5435229491985876
669246737,0.539481172633689
917139724,0.5351679021330789
644818133,0.5349080510926338
608583955,0.5324837530450246
256982322,0.5324283450241634
799829807,0.5318775038279
442186740,0.525029073317743
134004941,0.5228580171459694
556354695,0.522077561608608
476688647,0.5206285651810436
443482352,0.5197275282675662
699264993,0.519236361038864
815329225,0.5189717040489015
458656051,0.5167228007090152
123476319,0.515784890620024
318127197,0.5155613488650221
154979378,0.5143505357501894
329237011,0.509743027092842
380975117,0.508058990500869
332789281,0.5072349083538832
758358682,0.5069654316023264
943324413,0.505453764021464
819948934,0.5021230841918953
337312284,0.49684451381274997
430615724,0.493414048749127
938563476,0.49100565217639236
590531344,0.4905303929502143
378471695,0.4876265922598435
131831802,0.487603410624585
296823673,0.48394926649645775
506058815,0.48386244831463365
447029116,0.4737599088601723
786717619,0.47309974511846775
521050915,0.4678052591497295
613868590,0.4602941760703825
357364443,0.4587528193740109
219687263,0.458311416152565
945516127,0.4576823548882505
632945681,0.4560814441968475
286710482,0.45602366660371985
436331892,0.45530698451702634
823330633,0.4531485182176116
389983437,0.4528510544338413
869970215,0.44872506169547677
621489860,0.44863818310412995
291981023,0.4412583248354309
569108189,0.44037358751279143
185395590,0.43789487038562847
173378898,0.4354740657471847
359396106,0.4258974221289691
539741288,0.42020122716858843
433674595,0.41895947733533667
872764589,0.41507953580613766
182094869,0.4083950788746957
877575576,0.40723370152435834
104990824,0.400052061542608
672630399,0.40003602798791604
635425733,0.39873411095510747
449452337,0.3987134322459305
446141771,0.3984382850765762
311384112,0.39826030235721177
971707345,0.39786080021137593
311794953,0.396338866729824
289113252,0.3941157671123179
727841245,0.39234098531381
342570737,0.3910582837823746
108942506,0.3882589604591189
620945376,0.38182114092512087
389394192,0.38161974483278094
463586837,0.38039348978388254
379076079,0.3800112905524795
863624162,0.37726232067586274
754715924,0.37624045446235677
110855565,0.3741881647749281
898871056,0.3691305566890808
516307286,0.3685141578436202
470097278,0.36807441256095963
904336522,0.366654720954223
687001922,0.3663904302025873
562648498,0.36612656978828717
256642452,0.3637822331836329
874922591,0.3624681944014032
756320322,0.36203899783924776
920828197,0.36047528253056527
649085273,0.35824523893363747
615485581,0.3554676965529975
488090728,0.3548308980600883
898080437,0.35131258276564914
