Doctor Identifier,Risk
384220740,0.159413895666
145726871,0.116354523247
626583719,0.107340608771
318127197,0.101346075553
758358682,0.100297636599
329237011,0.0968059786622
516517167,0.0961555456284
899399353,0.0914775143456
322983390,0.0902690795611
750404084,0.0896308314327
959135254,0.0866557456242
326734543,0.0821964519627
927365909,0.0812839330895
556354695,0.0796737473098
476688647,0.0784078945967
519563023,0.077139453265
672258942,0.0767002901635
506274389,0.072774433538
601375695,0.0719181039925
248021783,0.0701229019137
458656051,0.0699912128414
977358864,0.0692619995582
863624162,0.0686721476448
653596648,0.0685769985816
943261943,0.0669735873479
608583955,0.0663094187352
669246737,0.0646992004113
296823673,0.0613342519849
741235680,0.0597611192497
644818133,0.0567123614822
943324413,0.0557122100219
447029116,0.0549723985402
938563476,0.0532179588507
945516127,0.0531924977306
655910735,0.051988913652
131831802,0.0517533208363
699264993,0.0515984546649
378471695,0.0496365538847
590531344,0.0485189015758
874922591,0.0478986007062
155708439,0.0461920869404
154979378,0.0441212101056
621489860,0.0429722979306
977364811,0.0410190215077
315627700,0.0405171985881
872764589,0.039647390917
357364443,0.0372830347225
521050915,0.0367091167487
500046390,0.0366079646697
332789281,0.0365227675325
672630399,0.036496817771
655153237,0.0307402253569
569108189,0.0233667994505
998530672,0.0196794411587
869970215,0.018982422924
799829807,0.0189129059488
970788777,0.0183491631967
632945681,0.0179789576105
923810075,0.01735880346
701451689,0.0170507168974
511762296,0.0164794278705
299187822,0.0160454220221
286710482,0.0154500296974
815329225,0.0148503989386
525862775,0.0141614272032
715390327,0.0140217496941
436331892,0.013026116644
520499193,0.0120552966658
259764167,0.0108666778723
613868590,0.0102376160732
562648498,0.00763346740766
226341734,0.00762035403502
877893674,0.00700648358894
876487806,0.0065046879041
620702752,0.00619440265717
920828197,0.00535200996997
256642452,0.00407780775673
786717619,0.00388841574129
962363955,0.00236225652405
516307286,0.000570302138878
424166224,-5.37683744057e-05
173378898,-0.00318946634101
458673998,-0.00365742649901
447566257,-0.00402880782978
700861270,-0.00472314812759
869513792,-0.00584290031693
465224174,-0.00641981280539
389983437,-0.00832760274097
817673436,-0.00951391844893
597001537,-0.0104833121715
703205683,-0.011308018783
391871155,-0.0113533648984
647650703,-0.0119104739295
430615724,-0.0127245982705
582997440,-0.0130896061482
147211289,-0.0133370489928
398378021,-0.0133532068847
256982322,-0.0136991649678
877638942,-0.0162191270236
507952688,-0.0166070843083
907144035,-0.0172661887292
228444488,-0.0176003163932
539741288,-0.0181013434107
885083191,-0.018949476534
773224377,-0.0189932368885
538697071,-0.019165214872
380975117,-0.0196409295549
904336522,-0.0197192346049
185395590,-0.0207419282692
572376478,-0.020981279927
139301362,-0.0219361446083
917139724,-0.0219875891398
430035808,-0.0223520411692
380383854,-0.0223695476391
519279060,-0.0226497775216
638527209,-0.0240203936107
104990824,-0.0245282526205
437313740,-0.0245580677217
812658560,-0.025420985319
344787185,-0.0254366108971
379076079,-0.0261658085649
413438584,-0.0263578162004
932051490,-0.0269130252268
293763208,-0.0288984646165
291981023,-0.0290610113092
342570737,-0.0297899904604
676972215,-0.0301301905716
433674595,-0.0301514895926
413858941,-0.0305866483966
473925079,-0.0308596128985
996108193,-0.0312767180019
337312284,-0.0316071106301
621690803,-0.0328081931895
898080437,-0.0332456673746
527909155,-0.0337353312903
584327320,-0.0341335319018
449452337,-0.0344986211644
416418956,-0.0346025532498
188168150,-0.0347112721475
292692982,-0.0350306673181
450781386,-0.0354612039584
855200741,-0.0370458571482
532014181,-0.0379734316912
285175385,-0.038936032166
736146844,-0.0392612442272
886011918,-0.0401391687894
567845210,-0.0402960098139
693195156,-0.040315218759
576891482,-0.0407133210086
428697045,-0.0413669841998
819948934,-0.0418721281434
488727456,-0.042123223138
860507991,-0.0424127215184
750384742,-0.0425517458871
675368157,-0.0426771623923
920006261,-0.0430881923283
219687263,-0.0445450151688
323129040,-0.044788719637
972617291,-0.0448693777816
947313182,-0.0451571617938
855282839,-0.0451696333589
238117243,-0.045353633171
259389962,-0.0459436869542
927481602,-0.0463356182716
897965922,-0.0466805055845
217019384,-0.0472105039673
730541111,-0.0472841845728
346339165,-0.0478302511089
488090728,-0.0479476000852
380670093,-0.0481406819256
554387797,-0.0484073579293
474342678,-0.0486813600137
477462375,-0.0492979671253
620945376,-0.0495600626654
819485655,-0.0495675180235
130596106,-0.0503166361419
102662390,-0.0507445294811
821399220,-0.0509520686075
705546945,-0.0511927217292
922496134,-0.0516843344928
898871056,-0.0517747657408
727841245,-0.0518236654951
108942506,-0.052123101721
372940184,-0.0523757226158
390281554,-0.0527687989168
506058815,-0.0529816369332
446141771,-0.0536773522322
134004941,-0.0538443008275
790530182,-0.0538692357109
512333436,-0.0539380691807
485363839,-0.0547552806363
823330633,-0.0547916610792
420990655,-0.0558954963144
123476319,-0.0562779090784
171650395,-0.0562911783277
632680711,-0.0564119615758
588712105,-0.0566430217108
928013703,-0.056673550141
463586837,-0.0571103910237
819682354,-0.0571396525948
620381488,-0.0576691191342
836897284,-0.0577332343293
695755873,-0.0577336290536
649085273,-0.0587184340948
756320322,-0.0591360453111
502705502,-0.0595990273578
545243422,-0.0596684496074
921505147,-0.0597184021073
732043158,-0.059774351662
756952492,-0.0600977587175
502850189,-0.0601424447406
101170099,-0.0603900841743
722978282,-0.0605778055055
374177006,-0.0606655111768
729440385,-0.0607559103151
730120154,-0.0608303297404
732732636,-0.0611527031869
971707345,-0.0614773325276
574947102,-0.0615495741511
884899821,-0.0617109066764
695479203,-0.0622389650107
538854996,-0.0623845278658
300286516,-0.0625335095087
261810621,-0.0626999696236
564158964,-0.0627353322138
215632719,-0.0630056024906
327223717,-0.0631780322946
898690489,-0.0635412085001
753336714,-0.0638847994626
497595178,-0.0639304115162
387964053,-0.0642976861898
952505419,-0.064421901998
780122608,-0.0644917576811
659956949,-0.0648071303098
423007383,-0.0648653821372
475304110,-0.0648714893098
